precinct,raceName,name,votePercentage
1002,Advanced Transportation District - Proposition A,AGAINST ,32.59%
1003,President and Vice President,Donald J. Trump ,19.34%
1003,President and Vice President,Joseph R. Biden ,79.51%
1003,President and Vice President,Jo Jorgensen ,0.79%
1003,President and Vice President,Howie Hawkins ,0.00%
1003,President and Vice President,Write-In Totals ,0.36%
1003,United States Senator,John Cornyn ,21.54%
1003,United States Senator,"Mary ""MJ"" Hegar ",75.38%
1003,United States Senator,Kerry Douglas McKennon ,2.12%
1003,United States Senator,David B. Collins ,0.81%
1003,United States Senator,Write-In Totals ,0.15%
1003,"United States Representative, District 35",Jenny Garcia Sharon ,19.22%
1003,"United States Representative, District 35",Lloyd Doggett ,76.51%
1003,"United States Representative, District 35",Mark Loewe ,2.36%
1003,"United States Representative, District 35",Jason Mata,1.91%
1003,Railroad Commissioner,"James ""Jim"" Wright ",20.46%
1003,Railroad Commissioner,Chrysta Casta,75.69%
1003,Railroad Commissioner,Matt Sterett ,2.08%
1003,Railroad Commissioner,"Katija ""Kat"" Gruene ",1.78%
1003,"Chief Justice, Supreme Court",Nathan Hecht ,19.45%
1003,"Chief Justice, Supreme Court",Amy Clark Meachum ,77.65%
1003,"Chief Justice, Supreme Court",Mark Ash ,2.91%
1003,"Justice, Supreme Court, Place 6 (Unexpired Term)",Jane Bland ,20.74%
1003,"Justice, Supreme Court, Place 6 (Unexpired Term)",Kathy Cheng ,79.26%
1003,"Justice, Supreme Court, Place 7",Jeff Boyd ,19.42%
1003,"Justice, Supreme Court, Place 7",Staci Williams ,76.99%
1003,"Justice, Supreme Court, Place 7",William Bryan Strange III ,3.60%
1003,"Justice, Supreme Court, Place 8",Brett Busby ,19.40%
1003,"Justice, Supreme Court, Place 8",Gisela D. Triana ,77.53%
1003,"Justice, Supreme Court, Place 8",Tom Oxford ,3.07%
1003,"Judge, Court of Criminal Appeals, Place 3",Bert Richardson ,20.65%
1003,"Judge, Court of Criminal Appeals, Place 3",Elizabeth Davis Frizell ,79.35%
1003,"Judge, Court of Criminal Appeals, Place 4",Kevin Patrick Yeary ,20.96%
1003,"Judge, Court of Criminal Appeals, Place 4",Tina Clinton ,79.04%
1003,"Judge, Court of Criminal Appeals, Place 9",David Newell ,21.34%
1003,"Judge, Court of Criminal Appeals, Place 9",Brandon Birmingham ,78.66%
1003,"State Senator, District 26",Jos,84.28%
1003,"State Senator, District 26",Juli,15.72%
1003,"Chief Justice, 4th Court of Appeals District",Ren,20.46%
1003,"Chief Justice, 4th Court of Appeals District",Rebeca Martinez ,79.54%
1003,"District Judge, 37th Judicial District",Joseph P. Appelt ,19.31%
1003,"District Judge, 37th Judicial District",Nicole Garza ,80.69%
1003,"District Judge, 144th Judicial District (Unexpired Term)",Melisa Skinner ,22.78%
1003,"District Judge, 144th Judicial District (Unexpired Term)",Michael Mery ,77.22%
1003,"District Judge, 386th Judicial District",Daphne Previti Austin ,19.68%
1003,"District Judge, 386th Judicial District","Jacqueline ""Jackie"" Vald",80.32%
1003,"District Judge, 399th Judicial District",Walden Shelton ,18.95%
1003,"District Judge, 399th Judicial District",Frank J. Castro ,81.05%
1003,"District Judge, 407th Judicial District",Stephani Walsh ,20.27%
1003,"District Judge, 407th Judicial District",Tina Torres ,79.73%
1003,Sheriff,"Gerard C. ""Gerry"" Rickhoff ",18.56%
1003,Sheriff,Javier Salazar ,81.07%
1003,Sheriff,Write-In Totals ,0.37%
1003,County Tax Assessor-Collector,Stephen David Pennington ,21.49%
1003,County Tax Assessor-Collector,Albert Uresti ,78.51%
1003,"County Commissioner, Precinct No. 1",Gabriel Lara ,19.76%
1003,"County Commissioner, Precinct No. 1","Rebeca ""Becky"" Clay-Flores ",80.24%
1003,CITY OF SAN ANTONIO - PROPOSITION A,FOR ,82.51%
1003,CITY OF SAN ANTONIO - PROPOSITION A,AGAINST ,17.49%
1003,CITY OF SAN ANTONIO - PROPOSITION B,FOR ,84.16%
1003,CITY OF SAN ANTONIO - PROPOSITION B,AGAINST ,15.84%
1003,Advanced Transportation District - Proposition A,FOR ,76.99%
1003,Advanced Transportation District - Proposition A,AGAINST ,23.01%
1003,SAN ANTONIO ISD - PROPOSITION A,FOR ,72.56%
1003,SAN ANTONIO ISD - PROPOSITION A,AGAINST ,27.44%
1003,SAN ANTONIO ISD - PROPOSITION B,FOR ,73.91%
1003,SAN ANTONIO ISD - PROPOSITION B,AGAINST ,26.09%
1004,President and Vice President,Donald J. Trump ,22.72%
1004,President and Vice President,Joseph R. Biden ,76.50%
1004,President and Vice President,Jo Jorgensen ,0.58%
1004,President and Vice President,Howie Hawkins ,0.19%
1004,President and Vice President,Write-In Totals ,0.00%
1004,United States Senator,John Cornyn ,23.29%
1004,United States Senator,"Mary ""MJ"" Hegar ",73.49%
1004,United States Senator,Kerry Douglas McKennon ,1.41%
1004,United States Senator,David B. Collins ,1.81%
1004,United States Senator,Write-In Totals ,0.00%
1004,"United States Representative, District 35",Jenny Garcia Sharon ,20.25%
1004,"United States Representative, District 35",Lloyd Doggett ,74.64%
1004,"United States Representative, District 35",Mark Loewe ,1.84%
1004,"United States Representative, District 35",Jason Mata,3.27%
1004,Railroad Commissioner,"James ""Jim"" Wright ",19.80%
1004,Railroad Commissioner,Chrysta Casta,76.36%
1004,Railroad Commissioner,Matt Sterett ,1.21%
1004,Railroad Commissioner,"Katija ""Kat"" Gruene ",2.63%
1004,"Chief Justice, Supreme Court",Nathan Hecht ,19.96%
1004,"Chief Justice, Supreme Court",Amy Clark Meachum ,78.00%
1004,"Chief Justice, Supreme Court",Mark Ash ,2.04%
1004,"Justice, Supreme Court, Place 6 (Unexpired Term)",Jane Bland ,21.03%
1004,"Justice, Supreme Court, Place 6 (Unexpired Term)",Kathy Cheng ,78.97%
1004,"Justice, Supreme Court, Place 7",Jeff Boyd ,21.36%
1004,"Justice, Supreme Court, Place 7",Staci Williams ,76.18%
1004,"Justice, Supreme Court, Place 7",William Bryan Strange III ,2.46%
1004,"Justice, Supreme Court, Place 8",Brett Busby ,18.39%
1004,"Justice, Supreme Court, Place 8",Gisela D. Triana ,78.93%
1004,"Justice, Supreme Court, Place 8",Tom Oxford ,2.69%
1004,"Judge, Court of Criminal Appeals, Place 3",Bert Richardson ,20.91%
1004,"Judge, Court of Criminal Appeals, Place 3",Elizabeth Davis Frizell ,79.09%
1004,"Judge, Court of Criminal Appeals, Place 4",Kevin Patrick Yeary ,19.83%
